code,name,close,차트점수,5일변화율(%),20일변화율(%),거래대금(원),20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,scan_tag,candidate_source,scan_priority
100790,미래에셋벤처투자,24050,9,5.71,7.37,117868400650,1,1,1,0,1,1,5.1_swing,all_fallback,3
101160,월덱스,32550,9,7.96,24.24,6685965300,1,1,0,1,1,1,5.1_swing,all_fallback,3
10140,삼성중공업,29100,0,1.04,3.37,122915635500,0,0,0,0,0,0,7.0_early,all_fallback,1
10170,대한광통신,7030,0,-1.82,111.43,132162594000,0,0,0,0,0,0,7.0_early,all_fallback,1
102710,이엔에프테크놀로지,59300,7,1.72,-1.17,7703010700,1,1,0,1,1,0,5.1_swing,all_fallback,3
103590,일진전기,82300,7,3.0,13.67,23500106600,1,1,0,0,1,0,5.1_swing,all_fallback,3
1040,CJ,200000,0,9.59,-13.79,41532800000,0,0,0,0,0,0,7.0_early,all_fallback,1
105840,우진,27150,7,-0.55,9.04,26696839350,1,1,0,0,1,0,5.1_swing,all_fallback,3
11070,LG이노텍,268500,7,2.87,5.92,37948447500,1,1,0,0,1,0,5.1_swing,all_fallback,3
11170,롯데케미칼,82000,7,7.75,0.0,60057784000,1,1,1,0,1,0,5.1_swing,all_fallback,3
112290,와이씨켐,27250,8,2.25,14.5,7276649250,1,1,0,1,0,1,5.1_swing,all_fallback,3
112610,씨에스윈드,59100,0,14.31,34.17,32996239200,0,0,0,0,0,0,7.0_early,all_fallback,1
11700,한신기계,5150,7,10.4,11.23,9219828700,1,1,0,0,1,0,5.1_swing,all_fallback,3
11780,금호석유화학,136300,7,8.78,-7.28,34083450600,1,1,1,0,1,0,5.1_swing,all_fallback,3
118990,모트렉스,9080,0,5.58,-9.2,12534413360,0,0,0,0,0,0,7.0_early,all_fallback,1
1200,유진투자증권,5140,7,5.22,16.16,8656017000,1,1,0,0,1,0,5.1_swing,all_fallback,3
120110,코오롱인더,71000,7,-1.25,13.24,22465039000,1,1,0,1,0,0,5.1_swing,all_fallback,3
123330,제닉,24600,8,0.61,9.09,8295366000,1,1,1,0,0,1,5.1_swing,all_fallback,3
124500,아이티센글로벌,67000,0,-0.3,35.08,23021736000,0,0,0,0,0,0,7.0_early,all_fallback,1
12510,더존비즈온,119100,8,0.08,37.69,37029857400,1,1,0,1,0,1,5.0_stable,all_fallback,4
126340,비나텍,135600,7,-8.07,17.5,10820337600,1,1,0,0,1,0,5.1_swing,all_fallback,3
126730,코칩,20100,7,3.77,13.75,7402327500,1,1,1,0,0,0,5.1_swing,all_fallback,3
127120,제이에스링크,38650,0,4.88,26.72,9383833500,0,0,0,0,0,0,7.0_early,all_fallback,1
138080,오이솔루션,31650,0,3.26,90.55,28416509400,0,0,0,0,0,0,7.0_early,all_fallback,1
145020,휴젤,269500,9,8.67,2.28,31484876500,1,1,1,1,1,1,5.1_swing,all_fallback,3
150,두산,1189000,7,7.99,22.2,95114055000,1,1,0,0,1,0,5.1_swing,all_fallback,3
1510,SK증권,1880,8,1.62,101.07,262583999200,1,1,1,0,1,0,5.1_swing,all_fallback,3
15750,성우하이텍,9610,0,-9.77,18.35,16421433460,0,0,0,0,0,0,7.0_early,all_fallback,1
160980,싸이맥스,24000,0,14.56,13.21,15693576000,0,0,0,0,0,0,7.0_early,all_fallback,1
16360,삼성증권,101500,7,3.78,4.53,48775013000,1,1,0,0,1,0,5.1_swing,all_fallback,3
1740,SK네트웍스,5600,7,5.46,8.32,6055884800,1,1,0,0,1,0,5.1_swing,all_fallback,3
174900,앱클론,81000,7,10.96,29.39,43762518000,1,1,1,0,0,0,5.1_swing,all_fallback,3
17670,SK텔레콤,81200,7,4.24,4.1,65498274800,1,1,0,0,1,0,5.1_swing,all_fallback,3
178320,서진시스템,45200,0,0.67,22.66,94707334000,0,0,0,0,0,0,7.0_early,all_fallback,1
17960,한국카본,48750,8,3.5,39.68,38498362500,1,1,0,1,0,1,5.0_stable,all_fallback,4
183300,코미코,120000,9,10.29,11.32,15920760000,1,1,0,1,1,1,5.1_swing,all_fallback,3
18880,한온시스템,4400,0,8.24,0.23,127603467200,0,0,0,0,0,0,7.0_early,all_fallback,1
19210,와이지-원,11930,0,7.67,20.02,15000197430,0,0,0,0,0,0,7.0_early,all_fallback,1
195870,해성디에스,57500,0,5.7,-5.58,12393780000,0,0,0,0,0,0,7.0_early,all_fallback,1
195940,HK이노엔,52900,0,7.19,-4.51,9452066200,0,0,0,0,0,0,7.0_early,all_fallback,1
200470,에이팩트,8350,8,8.02,12.23,14859801950,1,1,1,0,1,0,5.1_swing,all_fallback,3
200710,에이디테크놀로지,46400,7,-4.92,16.29,25936625600,1,1,1,0,0,0,5.1_swing,all_fallback,3
210,DL,49850,0,12.02,5.73,7884824350,0,0,0,0,0,0,7.0_early,all_fallback,1
213420,덕산네오룩스,46850,8,11.68,3.54,8486034200,1,1,0,1,0,1,5.1_swing,all_fallback,3
214320,이노션,19630,0,1.71,-3.3,5069054900,0,0,0,0,0,0,7.0_early,all_fallback,1
222800,심텍,59600,10,11.82,14.4,71198040800,1,1,1,1,1,1,5.1_swing,all_fallback,3
226950,올릭스,190000,0,5.56,47.17,44104700000,0,0,0,0,0,0,7.0_early,all_fallback,1
229640,LS에코에너지,45050,4,6.5,2.97,6483370750,0,0,0,0,0,0,6.0_force,all_fallback,2
23160,태광,28800,0,1.77,-0.52,7203225600,0,0,0,0,0,0,7.0_early,all_fallback,1
232140,와이씨,21150,5,2.67,2.92,27630804150,0,0,0,0,0,0,6.0_force,all_fallback,2
234340,헥토파이낸셜,37400,0,2.33,40.07,31564253600,0,0,0,0,0,0,7.0_early,all_fallback,1
234690,녹십자웰빙,9900,9,7.38,3.23,7974341100,1,1,1,0,1,1,5.1_swing,all_fallback,3
235980,메드팩토,5820,0,13.45,-3.32,41443265520,0,0,0,0,0,0,7.0_early,all_fallback,1
237690,에스티팜,155800,7,-1.95,5.48,16390160000,1,1,0,0,1,0,5.1_swing,all_fallback,3
240810,원익IPS,124500,0,3.75,-6.67,58482630000,0,0,0,0,0,0,7.0_early,all_fallback,1
250,삼천당제약,784000,7,1.29,50.48,128855888000,1,1,0,0,1,0,5.1_swing,all_fallback,3
253590,네오셈,19880,7,0.76,22.72,36916225640,1,1,0,0,1,0,5.1_swing,all_fallback,3
25860,남해화학,8090,0,0.37,9.92,20230946150,0,0,0,0,0,0,7.0_early,all_fallback,1
263750,펄어비스,65600,8,6.84,22.62,90244608000,1,1,1,0,1,0,5.0_stable,all_fallback,4
270,기아,175100,7,8.09,5.29,207799749900,1,1,0,0,1,0,5.1_swing,all_fallback,3
271560,오리온,134000,7,3.88,-3.32,11822016000,1,1,0,1,1,0,5.1_swing,all_fallback,3
272110,케이엔제이,37700,0,9.59,13.04,6937101600,0,0,0,0,0,0,7.0_early,all_fallback,1
272210,한화시스템,139800,7,-5.35,32.14,155112993000,1,1,0,0,1,0,5.1_swing,all_fallback,3
278470,에이피알,362000,0,13.48,28.37,93845966000,0,0,0,0,0,0,7.0_early,all_fallback,1
28050,삼성E&A,33300,0,4.72,-1.48,42611545800,0,0,0,0,0,0,7.0_early,all_fallback,1
281820,케이씨텍,51200,0,14.93,12.28,16096204800,0,0,0,0,0,0,7.0_early,all_fallback,1
289930,웨이비스,19450,0,1.3,-2.75,5397472250,0,0,0,0,0,0,7.0_early,all_fallback,1
290550,디케이티,18890,8,-0.21,64.55,8748223460,1,1,0,1,1,0,5.1_swing,all_fallback,3
294870,HDC현대산업개발,22100,0,2.08,-4.54,11662501500,0,0,0,0,0,0,7.0_early,all_fallback,1
295310,에이치브이엠,96600,7,-11.21,11.29,42514529400,1,1,1,0,0,0,5.1_swing,all_fallback,3
29780,삼성카드,60100,0,1.01,-2.28,8637211400,0,0,0,0,0,0,7.0_early,all_fallback,1
298020,효성티앤씨,394500,7,9.58,-1.99,32276412000,1,1,1,0,1,0,5.1_swing,all_fallback,3
298040,효성중공업,2731000,7,7.82,13.56,138396156000,1,1,0,0,1,0,5.1_swing,all_fallback,3
298380,에이비엘바이오,195500,9,7.18,3.33,100932153500,1,1,0,1,1,1,5.1_swing,all_fallback,3
307180,아이엘,5720,0,9.16,6.72,30586081240,0,0,0,0,0,0,7.0_early,all_fallback,1
307930,컴퍼니케이,7680,8,8.47,4.07,13817894400,1,1,1,0,1,0,5.1_swing,all_fallback,3
309710,아이티켐,37400,7,11.31,12.31,9004349200,1,1,0,0,1,0,5.1_swing,all_fallback,3
310210,보로노이,339000,0,3.04,56.94,41674287000,0,0,0,0,0,0,7.0_early,all_fallback,1
314130,지놈앤컴퍼니,8750,7,9.79,6.06,5762916250,1,1,0,0,0,1,5.1_swing,all_fallback,3
3160,디아이,37250,0,14.09,4.49,31312610750,0,0,0,0,0,0,7.0_early,all_fallback,1
318060,그래피,48950,0,5.38,-4.02,30330252150,0,0,0,0,0,0,7.0_early,all_fallback,1
31980,피에스케이홀딩스,108200,7,3.64,46.02,21307501400,1,1,0,0,1,0,5.1_swing,all_fallback,3
321370,센서뷰,4005,0,14.27,35.3,45957002535,0,0,0,0,0,0,7.0_early,all_fallback,1
32830,삼성생명,235000,7,3.75,14.63,127085650000,1,1,0,0,1,0,5.1_swing,all_fallback,3
329180,HD현대중공업,590000,5,0.0,9.46,134579590000,0,0,0,0,0,0,6.0_force,all_fallback,2
33160,엠케이전자,14450,0,12.1,44.93,20527727800,0,0,0,0,0,0,7.0_early,all_fallback,1
336260,두산퓨얼셀,46200,0,12.41,25.2,47305519800,0,0,0,0,0,0,7.0_early,all_fallback,1
3380,하림지주,15760,7,-0.76,5.77,18744833680,1,1,0,0,1,0,5.1_swing,all_fallback,3
34020,두산에너빌리티,107300,9,6.24,12.36,443611248400,1,1,0,1,1,1,5.0_stable,all_fallback,4
3490,대한항공,25500,0,3.66,2.82,57049645500,0,0,0,0,0,0,7.0_early,all_fallback,1
356860,티엘비,71100,0,14.13,22.38,89275364100,0,0,0,0,0,0,7.0_early,all_fallback,1
357780,솔브레인,440000,7,-0.45,10.69,19135600000,1,1,0,0,1,0,5.1_swing,all_fallback,3
361390,제노코,29750,0,4.02,0.51,10590672750,0,0,0,0,0,0,7.0_early,all_fallback,1
36170,에이치엠넥스,5080,0,14.41,193.81,13307903280,0,0,0,0,0,0,7.0_early,all_fallback,1
365270,큐라클,18320,0,11.71,44.37,10246357680,0,0,0,0,0,0,7.0_early,all_fallback,1
36540,SFA반도체,7310,0,3.1,2.24,26955822370,0,0,0,0,0,0,7.0_early,all_fallback,1
36570,엔씨소프트,230000,7,9.52,6.73,19176250000,1,1,0,0,1,0,5.1_swing,all_fallback,3
368770,파이버프로,16960,0,2.48,13.98,13356746240,0,0,0,0,0,0,7.0_early,all_fallback,1
36930,주성엔지니어링,62900,7,-6.12,27.07,50901510500,1,1,0,0,1,0,5.1_swing,all_fallback,3
37350,성도이엔지,12250,8,7.17,70.14,14546360500,1,1,1,0,1,0,5.1_swing,all_fallback,3
375500,DL이앤씨,51600,10,6.5,3.61,40347949200,1,1,1,1,1,1,5.1_swing,all_fallback,3
380540,옵티코어,4230,0,4.57,34.07,18878358870,0,0,0,0,0,0,7.0_early,all_fallback,1
38500,삼표시멘트,17750,7,-2.15,27.15,65134512500,1,1,0,0,1,0,5.1_swing,all_fallback,3
388050,지투파워,11720,0,5.97,24.42,12034342120,0,0,0,0,0,0,7.0_early,all_fallback,1
389020,자람테크놀로지,55500,7,-4.8,27.0,8283375000,1,1,0,0,1,0,5.1_swing,all_fallback,3
389030,지니너스,6050,9,11.21,85.58,6810357950,1,1,0,1,1,1,5.1_swing,all_fallback,3
389650,넥스트바이오메디컬,75600,0,6.18,0.27,5509350000,0,0,0,0,0,0,7.0_early,all_fallback,1
390,삼화페인트,10940,8,3.8,9.51,91809727160,1,1,1,0,0,1,5.1_swing,all_fallback,3
39030,이오테크닉스,410500,7,3.01,8.45,40423166500,1,1,0,0,1,0,5.1_swing,all_fallback,3
39490,키움증권,469000,7,4.22,3.65,50925896000,1,1,0,0,1,0,5.1_swing,all_fallback,3
396470,워트,7080,7,2.76,-4.19,6070901760,1,0,1,0,1,1,5.1_swing,all_fallback,3
397030,에이프릴바이오,66200,0,6.95,-3.92,15523502800,0,0,0,0,0,0,7.0_early,all_fallback,1
399720,가온칩스,65900,0,4.94,-2.51,9898180000,0,0,0,0,0,0,7.0_early,all_fallback,1
4000,롯데정밀화학,54700,10,5.6,11.29,9564295000,1,1,1,1,1,1,5.1_swing,all_fallback,3
402340,SK스퀘어,630000,7,11.5,10.53,352264500000,1,1,0,0,1,0,5.1_swing,all_fallback,3
403870,HPSP,50000,0,14.68,17.65,602365850000,0,0,0,0,0,0,7.0_early,all_fallback,1
417840,저스템,7160,0,12.05,9.65,24730432360,0,0,0,0,0,0,7.0_early,all_fallback,1
420770,기가비스,77300,9,-0.13,32.36,10596515900,1,1,0,1,1,1,5.1_swing,all_fallback,3
42370,비츠로테크,11320,8,8.22,3.47,50268825880,1,1,1,0,0,1,5.1_swing,all_fallback,3
424870,이뮨온시아,9010,0,13.05,-0.11,7561309130,0,0,0,0,0,0,7.0_early,all_fallback,1
425420,티에프이,57600,7,-3.19,26.87,12716409600,1,1,0,0,1,0,5.1_swing,all_fallback,3
42700,한미반도체,311000,7,-0.48,48.45,286277055000,1,1,0,0,1,0,5.1_swing,all_fallback,3
432720,퀄리타스반도체,14230,9,9.63,8.46,37389381920,1,1,1,0,1,1,5.1_swing,all_fallback,3
440,중앙에너비스,28700,0,-0.69,75.54,20688567200,0,0,0,0,0,0,7.0_early,all_fallback,1
440110,파두,62500,7,-1.11,13.64,132279875000,1,1,1,0,0,0,5.1_swing,all_fallback,3
441270,파인엠텍,10990,5,7.85,-5.83,8107323000,0,0,0,0,0,0,6.0_force,all_fallback,2
443060,HD현대마린솔루션,183400,9,3.15,10.22,21189119000,1,1,0,1,1,1,5.1_swing,all_fallback,3
45100,한양이엔지,29850,0,-0.17,3.29,7601571150,0,0,0,0,0,0,7.0_early,all_fallback,1
456040,OCI,95800,0,14.87,10.5,13184187600,0,0,0,0,0,0,7.0_early,all_fallback,1
457550,우진엔텍,28800,7,8.68,5.11,7536268800,1,1,0,0,1,0,5.1_swing,all_fallback,3
464080,에스오에스랩,17630,0,10.46,-7.99,17031884620,0,0,0,0,0,0,7.0_early,all_fallback,1
468530,프로티나,86100,8,10.1,17.3,26607310800,1,1,1,1,0,0,5.1_swing,all_fallback,3
475400,씨메스,38500,0,-9.41,1.99,8967227500,0,0,0,0,0,0,7.0_early,all_fallback,1
475830,오름테라퓨틱,129600,7,8.09,10.02,39018412800,1,1,0,0,1,0,5.1_swing,all_fallback,3
47810,한국항공우주,194300,0,10.78,17.4,157540188700,0,0,0,0,0,0,7.0_early,all_fallback,1
4800,효성,148000,0,5.71,-1.33,6633508000,0,0,0,0,0,0,7.0_early,all_fallback,1
48410,현대바이오,16670,7,10.91,44.58,78314693140,1,1,0,0,1,0,5.1_swing,all_fallback,3
48530,인트론바이오,4870,7,4.06,28.16,6267724090,1,1,0,0,1,0,5.1_swing,all_fallback,3
489790,한화비전,83900,7,7.7,36.64,119972301600,1,1,0,0,1,0,5.1_swing,all_fallback,3
500,가온전선,109700,0,14.99,23.26,13315605400,0,0,0,0,0,0,7.0_early,all_fallback,1
5010,휴스틸,5120,10,11.06,18.11,7304565760,1,1,1,1,1,1,5.1_swing,all_fallback,3
50890,쏠리드,13220,0,12.89,42.61,34426479620,0,0,0,0,0,0,7.0_early,all_fallback,1
51600,한전KPS,60300,7,7.3,4.33,11025493200,1,1,0,0,1,0,5.1_swing,all_fallback,3
52690,한전기술,172300,0,9.47,16.73,59306693800,0,0,0,0,0,0,7.0_early,all_fallback,1
52710,아모텍,13530,0,6.54,26.1,10169066820,0,0,0,0,0,0,7.0_early,all_fallback,1
53690,한미글로벌,21200,10,9.0,3.16,7572025200,1,1,1,1,1,1,5.1_swing,all_fallback,3
5380,현대차,545000,7,2.83,7.71,506667970000,1,1,0,0,1,0,5.1_swing,all_fallback,3
5385,현대차우,279500,7,4.68,6.68,27671897500,1,1,0,0,1,0,5.1_swing,all_fallback,3
5387,현대차2우B,279500,7,6.07,6.07,34688186000,1,1,0,0,1,0,5.1_swing,all_fallback,3
5440,현대지에프홀딩스,15420,0,8.98,10.7,7184147160,0,0,0,0,0,0,7.0_early,all_fallback,1
56090,시지메드텍,2880,7,-14.03,52.38,10516043520,1,1,0,0,1,0,5.1_swing,all_fallback,3
5690,파미셀,16680,0,4.64,-1.82,19699763880,0,0,0,0,0,0,7.0_early,all_fallback,1
5830,DB손해보험,189800,0,3.6,1.66,41955479800,0,0,0,0,0,0,7.0_early,all_fallback,1
58470,리노공업,116600,7,2.55,18.86,86018968200,1,1,0,0,1,0,5.1_swing,all_fallback,3
5850,에스엘,68200,0,6.56,25.14,14556539800,0,0,0,0,0,0,7.0_early,all_fallback,1
5860,한일사료,4000,0,1.01,28.82,17493744000,0,0,0,0,0,0,7.0_early,all_fallback,1
5870,휴니드,9030,7,3.79,6.74,5468333220,1,1,0,0,1,0,5.1_swing,all_fallback,3
59090,미코,14970,0,5.94,-11.0,7465119840,0,0,0,0,0,0,7.0_early,all_fallback,1
5930,삼성전자,208500,7,9.74,16.74,5192682700500,1,1,0,0,1,0,5.1_swing,all_fallback,3
5935,삼성전자우,149100,9,7.34,22.11,774780705300,1,1,0,1,1,1,5.0_stable,all_fallback,4
5940,NH투자증권,34200,7,2.7,17.32,33383475000,1,1,0,0,1,0,5.1_swing,all_fallback,3
60280,큐렉소,16350,7,4.61,-6.57,17794309950,1,1,1,0,1,0,5.1_swing,all_fallback,3
60370,LS마린솔루션,30950,0,9.95,5.27,6171987100,0,0,0,0,0,0,7.0_early,all_fallback,1
6110,삼아알미늄,33300,0,12.31,12.31,5922871200,0,0,0,0,0,0,7.0_early,all_fallback,1
6120,SK디스커버리,61500,10,7.33,8.27,8355697500,1,1,1,1,1,1,5.1_swing,all_fallback,3
62040,산일전기,154900,7,7.27,1.51,55141611800,1,1,1,0,1,0,5.1_swing,all_fallback,3
6260,LS,282000,8,11.68,12.57,39669786000,1,1,0,1,1,0,5.1_swing,all_fallback,3
6400,삼성SDI,405000,7,1.25,5.06,155690505000,1,1,0,0,1,0,5.1_swing,all_fallback,3
64760,티씨케이,236000,7,7.27,6.79,14584092000,1,1,0,0,1,0,5.1_swing,all_fallback,3
65170,비엘팜텍,4255,0,1.79,1.79,25851707785,0,0,0,0,0,0,7.0_early,all_fallback,1
65450,빅텍,5040,7,-0.4,27.11,8212428000,1,1,0,0,1,0,5.1_swing,all_fallback,3
65660,안트로젠,43400,0,-20.22,11.57,7144942000,0,0,0,0,0,0,7.0_early,all_fallback,1
660,SK하이닉스,1056000,8,10.58,18.92,4110289920000,1,1,0,1,1,0,5.1_swing,all_fallback,3
67310,하나마이크론,34050,7,5.75,-2.16,94378257750,1,1,1,0,1,0,5.1_swing,all_fallback,3
6910,보성파워텍,12760,0,10.57,35.74,186893180760,0,0,0,0,0,0,7.0_early,all_fallback,1
720,현대건설,170100,0,14.31,47.4,250919272800,0,0,0,0,0,0,7.0_early,all_fallback,1
73490,이노와이어리스,40000,0,-12.18,15.94,8143480000,0,0,0,0,0,0,7.0_early,all_fallback,1
74600,원익QnC,34050,0,1.79,15.42,10569698850,0,0,0,0,0,0,7.0_early,all_fallback,1
7660,이수페타시스,125100,0,13.73,15.62,248790248100,0,0,0,0,0,0,7.0_early,all_fallback,1
77360,덕산하이메탈,12720,7,-8.29,13.17,12179857920,1,1,0,0,1,0,5.1_swing,all_fallback,3
77970,STX엔진,34750,0,2.36,5.14,9864065500,0,0,0,0,0,0,7.0_early,all_fallback,1
7810,코리아써키트,60200,0,13.16,3.26,49388019800,0,0,0,0,0,0,7.0_early,all_fallback,1
78150,HB테크놀러지,2230,10,6.7,3.24,6163546060,1,1,1,1,1,1,5.1_swing,all_fallback,3
78160,메디포스트,23250,9,6.16,3.56,8898519000,1,1,1,1,0,1,5.1_swing,all_fallback,3
78350,한양디지텍,26600,0,5.77,1.72,6067539800,0,0,0,0,0,0,7.0_early,all_fallback,1
78600,대주전자재료,118500,8,11.79,32.11,37928532000,1,1,0,1,0,1,5.1_swing,all_fallback,3
79370,제우스,18310,9,6.76,2.63,22314708270,1,1,1,1,1,1,5.0_stable,all_fallback,4
80580,오킨스전자,19520,9,0.98,30.92,11831306240,1,1,0,1,1,1,5.1_swing,all_fallback,3
82640,동양생명,8650,7,4.34,18.01,6082532950,1,1,0,0,1,0,5.1_swing,all_fallback,3
83450,GST,30950,7,5.09,6.17,8430253850,1,1,0,0,1,0,5.1_swing,all_fallback,3
83650,비에이치아이,105600,0,5.18,42.9,37466352000,0,0,0,0,0,0,7.0_early,all_fallback,1
84370,유진테크,129300,7,4.11,27.77,34219891500,1,1,0,0,1,0,5.1_swing,all_fallback,3
85910,네오티스,19650,8,9.17,53.4,10531869450,1,1,1,0,1,0,5.1_swing,all_fallback,3
87010,펩트론,328000,9,8.61,31.99,67703464000,1,1,0,1,1,1,5.1_swing,all_fallback,3
88350,한화생명,5250,7,2.94,16.8,158239179000,1,1,0,0,1,0,5.1_swing,all_fallback,3
89890,코세스,28050,7,9.36,24.67,6190466700,1,1,0,0,0,1,5.1_swing,all_fallback,3
89970,브이엠,45900,0,14.75,31.9,36097137000,0,0,0,0,0,0,7.0_early,all_fallback,1
89980,상아프론테크,25050,0,14.65,44.88,8196760800,0,0,0,0,0,0,7.0_early,all_fallback,1
900290,GRT,6000,7,-15.73,50.94,6557106000,1,1,1,0,0,0,5.1_swing,all_fallback,3
90460,비에이치,19500,0,10.73,-10.96,7890012000,0,0,0,0,0,0,7.0_early,all_fallback,1
9150,삼성전기,464000,0,14.29,45.23,391171488000,0,0,0,0,0,0,7.0_early,all_fallback,1
9155,삼성전기우,187700,0,14.17,46.99,8735933400,0,0,0,0,0,0,7.0_early,all_fallback,1
92870,엑시콘,31850,7,5.46,13.55,12841091900,1,1,0,0,1,0,5.1_swing,all_fallback,3
9420,한올바이오파마,57400,7,0.0,6.1,19478977000,1,1,0,0,1,0,5.1_swing,all_fallback,3
950160,코오롱티슈진,100700,0,1.92,7.93,30435165200,0,0,0,0,0,0,7.0_early,all_fallback,1
97230,HJ중공업,27600,0,13.58,15.72,76260842400,0,0,0,0,0,0,7.0_early,all_fallback,1
98070,한텍,42200,10,11.94,16.25,10940223400,1,1,1,1,1,1,5.1_swing,all_fallback,3
99320,쎄트렉아이,193200,7,1.31,8.05,28460678400,1,1,0,0,1,0,5.1_swing,all_fallback,3
9970,영원무역홀딩스,237500,5,3.04,-1.86,5509287500,0,0,0,0,0,0,6.0_force,all_fallback,2
