등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,매집점수,돌파점수,총점,기준일자
B,KOSPI,005930,삼성전자,200500,6.71,10.65,3794161549500,5,4,3,12,20260319
A,KOSPI,005935,삼성전자우,144200,7.61,13.01,580471908800,7,4,4,15,20260319
A,KOSPI,034020,두산에너빌리티,106300,2.71,9.93,354037039800,7,3,5,15,20260319
B,KOSPI,009150,삼성전기,479500,20.03,54.93,442612544500,6,2,5,13,20260319
B,KOSPI,010120,LS ELECTRIC,873000,17.97,32.07,150890193000,6,2,5,13,20260319
B,KOSPI,298040,효성중공업,2693000,5.15,12.96,80744219000,5,4,3,12,20260319
B,KOSPI,000720,현대건설,169500,8.86,48.29,178602150000,7,2,5,14,20260319
B,KOSDAQ,000250,삼천당제약,795000,1.02,48.6,261456420000,7,2,3,12,20260319
B,KOSPI,278470,에이피알,369000,14.42,35.66,108554265000,7,2,5,14,20260319
B,KOSPI,007660,이수페타시스,129500,19.03,27.46,273562145500,7,3,4,14,20260319
A,KOSPI,006260,LS,290500,14.82,17.14,57291248000,7,3,5,15,20260319
B,KOSPI,011070,LG이노텍,286000,12.6,17.94,96577624000,6,3,3,12,20260319
B,KOSPI,047040,대우건설,16170,54.59,121.51,1247138221560,7,3,4,14,20260319
B,KOSPI,088980,맥쿼리인프라,11440,0.62,-0.87,15816143200,6,3,4,13,20260319
A,KOSDAQ,095340,ISC,244500,37.28,43.23,82587699000,7,3,5,15,20260319
B,KOSDAQ,039030,이오테크닉스,412500,0.49,13.01,48370162500,5,4,3,12,20260319
B,KOSDAQ,032820,우리기술,28950,32.19,134.6,848665168050,6,3,5,14,20260319
A,KOSDAQ,403870,HPSP,51700,19.54,21.36,410204602500,7,3,5,15,20260319
A,KOSPI,353200,대덕전자,77300,21.35,34.43,186203022800,7,3,5,15,20260319
B,KOSPI,010060,OCI홀딩스,198200,19.54,31.61,50778641800,6,3,5,14,20260319
B,KOSPI,012510,더존비즈온,119100,-0.17,34.27,26793450600,6,3,5,14,20260319
A,KOSDAQ,145020,휴젤,262000,7.16,3.35,15219580000,6,4,5,15,20260319
B,KOSPI,023530,롯데쇼핑,107500,10.6,-5.12,11164627500,5,4,3,12,20260319
B,KOSPI,336260,두산퓨얼셀,45900,-0.76,29.66,38801106000,7,2,5,14,20260319
B,KOSPI,051600,한전KPS,61400,1.82,5.32,19464107000,6,4,3,13,20260319
A,KOSPI,112610,씨에스윈드,64900,15.89,52.35,125850510500,7,3,5,15,20260319
A,KOSPI,097230,HJ중공업,27800,7.34,16.08,78533888000,7,4,4,15,20260319
B,KOSPI,017960,한국카본,48350,1.15,38.54,19042889250,6,2,5,13,20260319
A,KOSDAQ,458870,씨어스테크놀로지,189000,17.76,15.17,14902839000,6,4,5,15,20260319
B,KOSDAQ,319660,피에스케이,82500,34.8,42.49,46963702500,6,3,5,14,20260319
A,KOSPI,007340,DN오토모티브,39600,43.22,20.73,22777722000,7,4,5,16,20260319
B,KOSPI,018670,SK가스,249000,5.96,7.79,15267435000,6,3,3,12,20260319
B,KOSDAQ,445680,큐리옥스바이오시스템즈,131700,42.69,17.07,211419722100,5,4,3,12,20260319
A,KOSDAQ,222800,심텍,60100,15.13,18.77,57412808800,7,4,5,16,20260319
A,KOSPI,006360,GS건설,25950,22.41,18.22,87371599950,7,4,4,15,20260319
A,KOSDAQ,039200,오스코텍,57500,19.67,14.09,13835880000,6,5,4,15,20260319
B,KOSDAQ,376900,로킷헬스케어,128700,26.05,109.27,71220520800,5,2,5,12,20260319
A,KOSPI,375500,DL이앤씨,51900,8.01,4.95,31824820500,8,5,3,16,20260319
B,KOSDAQ,140860,파크시스템스,277500,2.4,7.98,24642000000,6,5,3,14,20260319
B,KOSPI,120110,코오롱인더,70500,-2.76,12.44,12898680000,6,3,3,12,20260319
B,KOSDAQ,078600,대주전자재료,119700,7.45,38.38,41400040500,7,2,5,14,20260319
A,KOSPI,475150,SK이터닉스,53700,43.78,87.43,785571930000,7,3,5,15,20260319
A,KOSDAQ,131970,두산테스나,91900,42.26,46.57,60345032200,7,3,5,15,20260319
B,KOSPI,034230,파라다이스,18890,10.99,-7.85,23052638180,5,4,3,12,20260319
B,KOSDAQ,090710,휴림로봇,14330,15.84,2.36,226476851380,5,4,4,13,20260319
B,KOSDAQ,060370,LS마린솔루션,31350,7.36,8.67,12558402450,5,4,3,12,20260319
A,KOSDAQ,417200,LS머트리얼즈,23750,26.94,48.62,166371932500,7,3,5,15,20260319
B,KOSPI,001800,오리온홀딩스,24750,1.64,0.0,3349788750,5,4,3,12,20260319
B,KOSPI,012630,HDC,25050,2.45,10.35,3118274100,6,4,2,12,20260319
A,KOSPI,007810,코리아써키트,62100,20.12,6.34,38219320800,7,4,5,16,20260319
B,KOSPI,082640,동양생명,8810,9.44,20.36,3931347970,7,3,3,13,20260319
B,KOSDAQ,082920,비츠로셀,30950,31.7,50.98,70388594600,6,3,3,12,20260319
A,KOSPI,004000,롯데정밀화학,54200,2.65,11.64,5107537000,6,5,5,16,20260319
B,KOSDAQ,131290,티에스이,124800,13.45,43.45,10591900800,7,2,5,14,20260319
A,KOSDAQ,183300,코미코,118900,4.39,11.85,13397652000,7,3,5,15,20260319
A,KOSPI,100090,SK오션플랜트,19680,0.61,9.76,19421148960,8,4,4,16,20260319
B,KOSDAQ,089970,브이엠,48800,23.39,43.32,38071612800,7,2,5,14,20260319
A,KOSPI,003160,디아이,38450,20.16,6.95,35128112250,7,4,5,16,20260319
A,KOSPI,000210,DL,51300,14.64,4.27,8667237600,8,4,5,17,20260319
A,KOSPI,281820,케이씨텍,50800,14.54,10.43,7561072000,7,4,5,16,20260319
B,KOSPI,006120,SK디스커버리,60300,6.35,4.87,6142580100,7,5,2,14,20260319
B,KOSPI,001510,SK증권,2180,20.78,79.42,790180865660,6,3,3,12,20260319
B,KOSDAQ,420770,기가비스,78400,2.48,36.59,7455840000,7,2,5,14,20260319
A,KOSPI,009450,경동나비엔,66800,8.44,-1.18,6626226000,7,4,4,15,20260319
B,KOSDAQ,027360,아주IB투자,7660,27.24,55.69,57380454860,6,3,5,14,20260319
A,KOSPI,456040,OCI,95600,8.14,10.52,5578642400,7,4,5,16,20260319
B,KOSDAQ,348210,넥스틴,80000,-1.84,6.52,6305680000,5,4,3,12,20260319
B,KOSDAQ,042520,한스바이오메드,55700,26.88,30.14,16436902900,6,3,5,14,20260319
A,KOSDAQ,356860,티엘비,79800,32.56,43.78,112193613000,7,3,5,15,20260319
B,KOSDAQ,050890,쏠리드,12900,4.03,41.6,204455183100,6,3,4,13,20260319
B,KOSDAQ,024850,HLB이노베이션,5050,44.91,62.38,59887687400,6,3,4,13,20260319
B,KOSPI,003030,세아제강지주,176800,20.77,30.0,5774995200,6,3,5,14,20260319
B,KOSDAQ,425420,티에프이,60700,5.2,38.43,15759965900,7,2,5,14,20260319
B,KOSPI,178920,PI첨단소재,23100,16.67,14.93,8746815000,6,4,3,13,20260319
B,KOSPI,090460,비에이치,19880,13.08,-4.65,9458347360,6,4,3,13,20260319
B,KOSDAQ,053610,프로텍,59100,6.29,4.23,3357766500,7,3,2,12,20260319
B,KOSPI,011930,신성이엔지,3080,25.71,32.76,311780918680,6,3,4,13,20260319
B,KOSDAQ,389650,넥스트바이오메디컬,76000,5.56,5.85,7224712000,7,4,3,14,20260319
B,KOSPI,003000,부광약품,6100,5.72,42.52,9998772300,6,2,4,12,20260319
A,KOSDAQ,079370,제우스,17860,4.02,6.06,9461567180,7,4,4,15,20260319
B,KOSPI,009155,삼성전기우,190400,18.26,46.8,10431825600,6,2,5,13,20260319
B,KOSDAQ,338840,와이바이오로직스,35600,35.1,45.31,10327275200,6,3,4,13,20260319
B,KOSDAQ,122640,예스티,24650,1.02,8.59,4670016450,6,4,2,12,20260319
B,KOSPI,006110,삼아알미늄,34500,9.52,16.16,15121764000,5,4,3,12,20260319
B,KOSDAQ,393890,더블유씨피,15100,43.95,69.09,68137511800,6,3,4,13,20260319
B,KOSDAQ,327260,RF머트리얼즈,60500,-6.06,53.55,51690474000,6,3,3,12,20260319
A,KOSDAQ,098070,한텍,44600,12.63,21.2,20093638000,8,4,5,17,20260319
B,KOSDAQ,194480,데브시스터즈,40500,4.38,9.91,7898472000,5,5,3,13,20260319
B,KOSDAQ,019210,와이지-원,12810,8.56,38.34,40202634990,7,3,3,13,20260319
B,KOSDAQ,080580,오킨스전자,20850,9.74,38.17,30775788450,8,2,4,14,20260319
B,KOSPI,025860,남해화학,8520,-2.41,17.19,45335857200,5,4,3,12,20260319
B,KOSDAQ,078350,한양디지텍,27000,7.57,9.53,8273448000,8,3,3,14,20260319
B,KOSDAQ,089980,상아프론테크,25700,14.99,14.48,12973025900,7,4,3,14,20260319
A,KOSDAQ,033160,엠케이전자,17710,31.67,78.53,129114507060,7,3,5,15,20260319
B,KOSDAQ,290550,디케이티,19490,7.09,83.35,9320546780,7,2,5,14,20260319
B,KOSDAQ,226590,엠디바이스,36250,34.26,60.75,69931035000,6,3,5,14,20260319
B,KOSDAQ,241770,메카로,36700,30.84,56.17,3600673700,7,3,4,14,20260319
B,KOSDAQ,389260,대명에너지,20700,-5.48,5.24,10793704500,5,4,3,12,20260319
B,KOSDAQ,046120,오르비텍,10980,34.56,76.81,155301141960,6,3,4,13,20260319
A,KOSDAQ,170920,엘티씨,34100,42.08,28.2,25514233800,7,3,5,15,20260319
A,KOSDAQ,236200,슈프리마,51500,5.21,13.56,3952110000,8,4,4,16,20260319
A,KOSPI,078520,에이블씨엔씨,12820,17.61,11.58,4775257700,7,4,4,15,20260319
B,KOSDAQ,322310,오로스테크놀로지,33000,9.45,34.15,7571157000,7,3,3,13,20260319
A,KOSPI,005680,삼영전자,15400,26.54,30.07,5022017000,7,3,5,15,20260319
A,KOSPI,005010,휴스틸,5240,5.65,22.14,9017647000,8,5,5,18,20260319
B,KOSPI,000390,삼화페인트,10550,8.54,9.55,19085139900,5,4,3,12,20260319
A,KOSDAQ,078070,유비쿼스홀딩스,15740,8.7,41.8,8307524780,8,3,5,16,20260319
A,KOSDAQ,160980,싸이맥스,23950,14.87,19.45,9195506700,8,4,5,17,20260319
A,KOSDAQ,289930,웨이비스,19900,7.22,10.74,10091588500,8,3,5,16,20260319
B,KOSDAQ,402490,그린리소스,15490,22.26,59.03,28324394400,5,3,4,12,20260319
B,KOSDAQ,199820,제일일렉트릭,11510,14.64,7.17,32263186070,7,4,3,14,20260319
A,KOSPI,053690,한미글로벌,23150,18.11,14.32,45858923050,7,4,5,16,20260319
A,KOSDAQ,425040,티이엠씨,11890,27.44,25.03,49520363750,7,3,5,15,20260319
A,KOSDAQ,461300,아이스크림미디어,18990,10.99,20.65,8692140780,8,4,3,15,20260319
B,KOSDAQ,321550,티움바이오,8550,19.58,41.56,3595847850,5,3,4,12,20260319
A,KOSDAQ,064290,인텍플러스,17950,15.06,4.85,13839126900,7,4,5,16,20260319
A,KOSPI,016880,웅진,2830,29.52,18.16,6949418750,7,4,4,15,20260319
A,KOSDAQ,297090,씨에스베어링,7880,8.39,21.98,17818665760,8,4,3,15,20260319
B,KOSPI,005960,동부건설,9170,20.34,14.62,14087907680,6,4,3,13,20260319
B,KOSDAQ,389030,지니너스,6130,10.25,98.06,4082365450,7,2,3,12,20260319
A,KOSDAQ,078150,HB테크놀러지,2200,5.77,2.8,3244628200,7,4,4,15,20260319
B,KOSDAQ,290690,소룩스,4145,32.43,12.94,92450850970,6,4,3,13,20260319
B,KOSDAQ,282720,금양그린파워,16300,1.94,34.27,58616690800,7,3,4,14,20260319
B,KOSDAQ,417500,제이아이테크,5920,25.96,73.1,12076421120,6,3,5,14,20260319
B,KOSPI,214390,경보제약,7940,43.84,33.67,102222259600,6,3,4,13,20260319
A,KOSDAQ,234690,녹십자웰빙,10280,10.42,10.3,9095867360,8,5,4,17,20260319
B,KOSDAQ,453450,그리드위즈,22100,13.62,28.04,33580883700,7,3,3,13,20260319
B,KOSDAQ,039560,다산네트웍스,4325,-4.42,14.42,7156776450,6,4,3,13,20260319
B,KOSDAQ,054620,APS,9180,14.04,87.92,5375321460,7,2,5,14,20260319
B,KOSDAQ,417840,저스템,7340,6.84,11.72,21562549180,6,3,3,12,20260319
B,KOSPI,019180,티에이치엔,9140,13.82,8.42,4028208220,6,4,2,12,20260319
B,KOSDAQ,069540,빛과전자,1687,23.59,57.96,83980832103,7,3,4,14,20260319
B,KOSDAQ,306620,지아이에스,3565,27.09,50.11,31260543840,7,3,4,14,20260319
B,KOSDAQ,382800,지앤비에스 에코,4320,19.34,11.34,3742938720,6,4,2,12,20260319
B,KOSDAQ,096350,대창솔루션,3640,48.57,67.36,44112588520,7,3,4,14,20260319
B,KOSPI,008700,아남전자,1574,31.39,18.17,23029105856,6,4,4,14,20260319
A,KOSDAQ,036010,아비코전자,8960,11.58,7.56,3502186240,8,4,4,16,20260319
B,KOSDAQ,046210,HLB파나진,2585,22.51,39.73,5373023315,6,3,4,13,20260319
A,KOSDAQ,214270,FSN,2665,17.4,39.09,15610650575,7,3,5,15,20260319
B,KOSDAQ,340360,다보링크,2155,31.08,37.17,4206210890,7,3,3,13,20260319
A,KOSDAQ,261780,차백신연구소,4085,27.46,51.58,125826582585,7,3,5,15,20260319
