차트등급,시장,종목코드,종목명,현재가,5일변화율(%),20일변화율(%),거래대금(원),차트점수,20일선위,60일선위,거래량증가,고점근접,양봉마감,상단압박,기준일자
B,KOSPI,034020,두산에너빌리티,105700,9.88,12.33,614899919900,8,True,True,False,True,False,True,20260316
B,KOSPI,006800,미래에셋증권,70900,10.92,37.2,295398681700,7,True,True,False,False,True,False,20260316
B,KOSPI,009150,삼성전기,413000,8.12,31.74,290438533000,7,True,True,False,False,True,False,20260316
B,KOSPI,047810,한국항공우주,191200,9.82,18.54,226182334400,7,True,True,False,False,True,False,20260316
B,KOSPI,079550,LIG넥스원,730000,-8.29,58.35,443830510000,7,True,True,False,False,True,False,20260316
B,KOSPI,278470,에이피알,328500,10.79,19.24,88385881500,8,True,True,False,True,False,True,20260316
B,KOSDAQ,950160,코오롱티슈진,103400,-0.19,10.59,28317330800,7,True,True,False,False,True,False,20260316
A,KOSDAQ,087010,펩트론,316500,11.05,23.87,112941126000,10,True,True,True,True,True,True,20260316
B,KOSDAQ,141080,리가켐바이오,201000,5.62,12.61,76540398000,8,True,True,False,True,False,True,20260316
B,KOSDAQ,310210,보로노이,347500,10.49,59.04,29570165000,7,True,True,False,False,False,True,20260316
B,KOSDAQ,240810,원익IPS,121100,-2.57,16.11,44437281700,7,True,True,False,False,True,False,20260316
A,KOSDAQ,263750,펄어비스,68500,3.63,27.56,84853621500,9,True,True,True,True,False,True,20260316
B,KOSPI,489790,한화비전,78600,-1.13,32.77,47886421200,7,True,True,False,False,True,False,20260316
A,KOSPI,012510,더존비즈온,119200,0.25,41.4,10951857600,9,True,True,False,True,True,True,20260316
B,KOSDAQ,440110,파두,69300,7.94,42.89,70630629300,7,True,True,False,False,True,False,20260316
A,KOSPI,353200,대덕전자,67000,11.3,16.12,96364425000,10,True,True,True,True,True,True,20260316
B,KOSPI,00680K,미래에셋증권2우B,21900,11.21,31.98,10978119600,7,True,True,False,False,True,False,20260316
B,KOSPI,010060,OCI홀딩스,158100,7.92,4.08,31543637700,7,True,True,False,False,False,True,20260316
B,KOSDAQ,178320,서진시스템,46300,1.65,34.59,75241296600,7,True,True,False,False,False,True,20260316
B,KOSDAQ,064760,티씨케이,242500,7.3,16.31,21053122500,7,True,True,False,False,True,False,20260316
B,KOSDAQ,347700,스피어,52800,10.23,39.31,43142880000,7,True,True,False,False,False,True,20260316
B,KOSPI,005440,현대지에프홀딩스,15600,11.75,46.2,15143949600,7,True,True,False,False,True,False,20260316
B,KOSPI,017960,한국카본,45850,2.46,35.45,22931694100,7,True,True,False,False,False,True,20260316
B,KOSDAQ,089030,테크윙,64100,-6.42,42.44,107720947400,7,True,True,False,False,True,False,20260316
B,KOSDAQ,031980,피에스케이홀딩스,110000,-5.42,51.52,33936100000,7,True,True,False,False,True,False,20260316
A,KOSDAQ,222800,심텍,56000,8.11,6.87,53813592000,10,True,True,True,True,True,True,20260316
B,KOSPI,001120,LX인터내셔널,45450,9.39,3.41,14025051900,8,True,True,True,False,True,False,20260316
B,KOSDAQ,078600,대주전자재료,110700,-4.57,15.92,22133911500,7,True,True,False,False,True,False,20260316
B,KOSDAQ,456160,지투지바이오,100200,4.81,16.38,454675135200,8,True,True,True,False,False,True,20260316
B,KOSDAQ,127120,제이에스링크,41100,9.16,43.46,11828497800,7,True,True,False,False,False,True,20260316
A,KOSPI,004000,롯데정밀화학,51100,6.46,5.91,10320820300,9,True,True,True,True,False,True,20260316
B,KOSDAQ,389470,인벤티지랩,90800,0.11,28.79,25878726400,7,True,True,False,False,False,True,20260316
B,KOSDAQ,089970,브이엠,40000,0.25,25.79,15694400000,7,True,True,False,False,True,False,20260316
B,KOSDAQ,126340,비나텍,138500,10.8,18.38,28492220000,7,True,True,True,False,False,False,20260316
B,KOSDAQ,074600,원익QnC,34850,0.58,19.76,14965461250,8,True,True,False,True,True,False,20260316
B,KOSDAQ,420770,기가비스,70100,10.92,12.7,7389030700,7,True,True,False,False,True,False,20260316
B,KOSDAQ,348210,넥스틴,81100,3.44,3.31,5126655400,7,True,True,False,False,True,False,20260316
B,KOSDAQ,102940,코오롱생명과학,62500,10.04,-1.42,6989625000,7,True,True,True,False,True,False,20260316
B,KOSDAQ,083450,GST,30450,3.75,7.03,8700265350,7,True,True,False,False,True,False,20260316
A,KOSDAQ,194480,데브시스터즈,42950,5.14,13.77,10467344500,10,True,True,True,True,True,True,20260316
B,KOSDAQ,309710,아이티켐,36200,6.16,11.38,10398993000,7,True,True,False,False,True,False,20260316
A,KOSDAQ,110990,디아이티,23500,9.81,9.05,6862963500,9,True,True,True,True,True,False,20260316
B,KOSPI,025860,남해화학,8650,-3.03,20.31,49097235650,7,True,True,True,False,False,False,20260316
B,KOSPI,010820,퍼스텍,8000,-7.62,70.94,76399352000,7,True,True,False,False,True,False,20260316
B,KOSPI,005010,휴스틸,4810,4.45,12.12,5397555930,7,True,True,False,False,False,True,20260316
B,KOSPI,044450,KSS해운,10650,0.47,3.3,29646096150,7,False,True,True,False,True,False,20260316
B,KOSDAQ,091580,상신이디피,16140,8.32,0.06,6120029760,8,True,True,True,False,True,True,20260316
B,KOSDAQ,000440,중앙에너비스,31200,-3.7,88.98,48465112800,7,True,True,False,False,True,False,20260316
B,KOSDAQ,005860,한일사료,4570,0.55,48.14,105439533560,8,True,True,True,False,True,False,20260316
B,KOSDAQ,065450,빅텍,5290,-1.86,33.75,39136488580,7,True,True,False,False,True,False,20260316
B,KOSPI,004140,동방,2750,-0.18,5.97,17783026250,8,True,True,True,False,True,False,20260316
B,KOSDAQ,024740,한일단조,3435,-12.93,48.38,45789106470,8,True,True,True,False,True,False,20260316
B,KOSDAQ,448710,코츠테크놀로지,21300,-3.62,12.7,8230256100,8,True,True,True,False,True,False,20260316
B,KOSPI,006890,태경케미컬,9000,0.0,14.07,18999531000,8,True,True,True,False,True,False,20260316
